Semester,Department,Course Number,Title,Instructor,Syllabus,Course Code,School
"2024, Fall",EVS,301,Introduction to Environmental Science.,"Shanahan, Timothy ",introduction environmental science evs lecture syllabus fall introduction environmental science evs monday wednesday pm course syllabus fall environment meet one thing us share lady bird johnson environmental science study interactions among physical chemical biological components environment result truly interdisciplinary science university texas interdisciplinary program designed around three core areas study ecology earth geological science geography course provides introduction field environmental science perspectives three disciplines examines environmental science questions tackled across forty acres challenge think interests lie within exciting rapidly growing field research course objectives field environmental science broad class learn lot various aspects field kinds research conducted ut work done along way hope teach think like environmental scientist evaluate processes information using scientific method work teams think problems large spatial scales solve problems context open dynamic systems use critical thinking make sense information work quantitatively data learn conduct scientific research course knowledge forms basis understanding required discipline however goal course memorize rather arm skills think solve problems even know answer help better use facts scientific process evaluate future questions form scientifically grounded opinions hypotheses learning outcomes end course students able introduction environmental science evs lecture syllabus fall understand basics environmental science understand various fields environmental science housed university understand environmental scientists understand role importance scientific method environmental science research understand get involved environmental science research university getting involved research important regardless career choice fun challenging ones self investigating unknown problems prerequisites prerequisites welcome evs team instructor call dr shanahan dr email tshanahanjsgutexasedu office hours tuesday jgb office would like meet privately please contact email dr timothy shanahan hehimhis white cis heterosexual male scientist grew southern new jersey exit undergraduate studies northeast found passion geochemistry studying mineral kinetics things stints professional environmental scientist geologist usgs went graduate school university arizona use novel geochemical method provide first chronologies tropical glaciations africa kilimanjaro mt kenya phd postdoc working reconstructing past climate variability current future changes climate system first subsaharan africa places world currently associate professor director environmental science program evs ut married brilliant woman working corporate sustainability energy sector year old daughter super archery passion understanding climate system course introduction environmental science evs lecture syllabus fall ta sophia bautista email sbautistautmailutexasedu office hours tuesday pm held jgb hey yall name sophia bautista rd year phd candidate ut research focuses understanding climate changed past years using organic molecules preserved lake sediments colorado new zealand australia free time youll find going concerts cooking hanging cats textbook electronic textbook miller spoolman living environment th edition required access textbook directly class canvas site textbook made available longhorn textbook access lta program lta program university coop textbook publishers significantly reduce cost digital course materials students automatically opted program easily optout back via canvas th class day remain optedin end th class day receive bill owe page end th class day pay retain access pay th class day lose access materials th class day charge removed information lta program available httpswwwuniversitycoopcomlonghorntextbookaccess links external site reason decide dont want purchase lta option also link coop digital version though norton directly vitalsource digital etextbook need course format lecture dr shanahan lead lecture portion course essential attend person take attendance find student performance lower students attend class regardless whether get notes friend colleague lecture portion course synchronous takes place rpl class may recorded instructors discretion however expected attend class person meeting time mw pm assigned reading text lecture however responsible portion material covered lecture recommend using reading help understanding lecture material viceversa introduction environmental science evs lecture syllabus fall highly recommend taking notes class convenience lecture powerpoint slides available modules section canvas canvas course uses webbased management system passwordprotected site course announcements grades zoom links assignments discussions posted canvas timely fashion student enrollments updated evening readings lectures labs assignments quizzes organized weekly modules responsible checking canvas site regularly suggest daily communication class questions dont understand something need clarification think going fast dont afraid raise hand ask guarantee others feeling dont know answer think beyond scope class let know questions slow us dont worry job adjust interactions make class much enjoyable everyone office hours office hours opportunity meet instructor ask questions answered lecture clarification additional information topic covered part course students take advantage please hesitate always happy come talk us course instructors class hold regularly scheduled office hours week cannot attend office hours would like speak instructor privately please reach schedule alternative meeting times cannot attend tas office hours welcome attend office hours another ta course email canvas announcements course email canvas used means communication eg class work announcements students expected check email canvas frequent regular basis order stay current universityrelated communications recognizing certain communications may timecritical recommended email checked daily mf minimum check email regularly please respectful time commitments eg may respond email morning feedback greatly value student perspective class take seriously always trying improve class would greatly appreciate feedback course general specific areas work well dont immediate issues hesiate reach either email office hours appointment truly want wonderful positive enriching experience everyone assessment class instapolls use ut instapoll class simple quiz questions ungraded participation assessment help make sure understanding material drop instapolls miss want excused need see excused absences missed classes grant journal reading want really start thinking environmental scientist reading learning facilitate writing regular introduction environmental science evs lecture syllabus fall nearly weekly journal entries canvas discuss interesting environmental science related topic read news least commentaries need peer reviewed journals also want reflect experiences student environmental scientist grading based effort completeness exercises series class homework assignments provided help students work specific skills build class lecture material details assignments provided canvas canvas announcements class students miss assignments class responsible making assignments outside class see attendance requirement capstone project essential part ut evs experience getting involved research especially juniorsenior capstone research project order get thinking series assignments provided help guide thinking kind capstone project would interested working potential mentors detail provided canvas class group project employers graduate schools told us critical skills environmental scientists critical thinking b working group b communication course semester work group research project team using peer reviewed literature governmentagency reports put together professional consulting style slide deck presentation regular goal posts throughout semester used keep track details provided canvas attendance exams required unless dropping final absent exam must use exam drop absence regardless know absent exam legitimate reason please provide dr shanahan documentation soon possible unexcused absences generally result grade zero grading grades course awarded using uts standard grades symbols scale late work late work accepted except exceptional circumstances prior approval ie due excused absence absences extenuating circumstances absences considered casebycase basis current grade wish know current grades point check canvas website come office hours letting us know would like see summary meeting helpful grade disputes exams available evaluation ta instructor office hours exam taken students however exams may leave office photographed students wishing formally dispute answer question must provide written explanation believe answer chosen correct answer one key exams must provided within two weeks exam grades posted class policies introduction environmental science evs lecture syllabus fall sharing course materials prohibited materials used class including limited lecture handouts videos assessments quizzes exams papers projects homework assignments inclass materials review sheets additional problem sets may shared online anyone outside class unless explicit written permission unauthorized sharing materials promotes cheating violation universitys student honor code act academic dishonesty aware sites oncampus offcampus used sharing class materials anyone associated suspected unauthorized sharing materials reported student conduct academic integrity office dean students reports result sanctions including failure course class recordings reserved students class educational purposes protected ferpa recordings shared outside class form violation restriction student could lead student misconduct proceedings commitment open accessible learning environment class respects welcomes students backgrounds identities abilities circumstances make learning environment activities difficult medical information need share need specific arrangements case building needs evacuated please let know committed creating effective learning environment students discuss needs early possible promise maintain confidentiality discussions learn differently organization course able accommodate students needs documented anyone documented disability requires formal academic accommodations contact services students disabilities voice video phone soon possible request official letter outlining authorized accommodations personal pronoun use professional courtesy sensitivity especially important respect individuals topics dealing differences race culture religion politics sexual orientation gender gender variance nationalities class rosters provided instructor students legal name gladly honor request address alternate name gender pronoun please advise preference early semester may make appropriate changes records student rights responsibilities right learning environment supports mental physical wellness right respect right assessed graded fairly right freedom opinion expression right privacy confidentiality right meaningful equal participation selforganize groups improve learning experience right learn environment welcoming people student isolated excluded diminished way rights come responsibilities introduction environmental science evs lecture syllabus fall responsible taking care managing time communicating teaching team others things start feel control overwhelming responsible acting way worthy respect always respectful others experience course directly related quality energy bring energy shapes quality peers experiences responsible creating inclusive environment speaking someone excluded responsible holding accountable standards holding standards holding teaching team accountable well university policies academic integrity students expected read strictly adhere universitys honor code written policies academic dishonesty states student university texas austin shall abide core values university uphold academic integrity cheating andor plagiarism tolerated student caught violating university policy referred dean student affairs disciplinary action academic dishonesty harms students integrity university uts academic honesty university honor code found following web address httpsdeanofstudentsutexaseduconductstandardsofconductphp religious exemptions ut austin policy must notify instructor pending absence least fourteen days prior date observance religious holy day must miss class examination work assignment project order observe religious holy day given opportunity complete missed work within reasonable time absence q drop policy want drop class cutoff day youll need execute q drop links external site qdrop deadline typically occurs near middle semester texas law allowed six q drops college public texas institution title ix reporting title ix federal law protects sex genderbased discrimination sexual harassment sexual assault unprofessional inappropriate conduct sexual nature datingdomestic violence stalking federally funded educational institutions ut austin committed fostering learning working environment free discrimination forms unprofessional inappropriate conduct sexual nature occurs community university intervene prevent harmful behavior continuing escalating provide support remedies students employees experienced harm become involved title ix investigation investigate discipline violations universitys relevant policies beginning january texas senate bill requires employees texas universities including faculty report information title ix office regarding sexual harassment sexual assault dating violence stalking disclosed texas law requires employees witness receive information type including limited introduction environmental science evs lecture syllabus fall writing assignments class discussions oneonone conversations must reported responsible employee must report title ix related incidents disclosed writing discussion oneonone talking faculty staff member title ix related incident sure ask whether responsible employee would like speak someone provide support remedies without making official report university please email advocateaustinutexasedu information reporting options resources visit httpwwwtitleixutexasedu contact title ix office via email titleixaustinutexasedu call although graduate teaching research assistants subject texas senate bill still mandatory reporters federal title ix laws required report wide range behaviors refer unprofessional inappropriate conduct sexual nature including types conduct covered texas senate bill title ix office developed supportive ways respond survivor compiled campus resources support survivors land acknowledgment flagship institution state university system important university texas austin demonstrate respect historic contemporary presence indigenous peoples texas particularly greater austin area end incumbent upon university texas austin recognize campus resides historically traditional territories indigenous peoples dispossessed homelands land acknowledgements expression gratitude appreciation indigenous peoples traditional caretakers land use lands work study learn land acknowledgment would like acknowledge meeting indigenous land moreover would like acknowledge pay respects carrizo comecrudo coahuiltecan caddo tonkawa comanche lipan apache alabamacoushatta kickapoo tigua pueblo american indian indigenous peoples communities become part lands territories texas turtle island university resources students services students disabilities need make special arrangements exams learning environment contact services students disabilities voice video phone httpddceutexasedudisabilityabout sanger learning center students encouraged take advantage sanger centers classes workshops private learning specialist appointments peer academic coaching tutoring courses different subject areas please visit wwwutexaseduugsslc call jes undergraduate writing center httpuwcutexasedu libraries wwwlibutexasedu wwwutexaseduits food banks hunger food insecurity campus real food pantries campus httpsdeanofstudentsutexaseduemergencyutoutpostphp httpssocialworkutexasedustudentresourcesfinancialfoodpantry important safety information concerns safety behavior fellow students tas professors call introduction environmental science evs lecture syllabus fall bcal behavior concerns advice line call anonymous something doesnt feel right probably isnt trust instincts share concerns student emergency services httpdeanofstudentsutexaseduemergency following recommendations regarding emergency evacuation office campus safety security wwwutexasedusafety introduction environmental science evs lecture syllabus fall introduction environmental science evs lecture syllabus fall,EVS 301,Geosciences
"2024, Fall",EVS,141,Environmental Science Professionalism I.,"Hallock, Jeff ",evs environmental science professionalism fall syllabus unique number meeting time mondays pm meeting location rlp inperson attendance required sessions recorded broadcast zoom instructor jeff hallock email jeffhallockjsgutexasedu linkedin httpswwwlinkedincominjeffhallockb office hours appointment jgb schedule appointment httpsoutlookofficecomowacalendarjsgstudentaffairsutexasonmicrosoftcombo okings call email geoadvisingjsgutexasedu walkin speak front desk personnel course overview evs designed provide students holistic perspective means professional field environmental science course aim tell act instead provide space explore professional within environmental science field seeks expose variety paths available field prepare seek create space within field topics include preparing career field environmental sciences development professional opportunities across disciplines professional responsibilities ethical principles creating vision future professional self need lifelong professional development seminar includes introductions practitioners several fields environmental work acquisition skills essential job searching guidance role advanced study field learning outcomes students able assess opportunities challenges different environmental science careers offer delineate aspects career path necessitate interdisciplinary collaboration create professional persona document portfolio elucidate fiveyear professional vision plan explore fit environmental science field materials readings assignments posted canvas need device capable accessing canvas preparing editing documents uploading pdfs course course topicsschedule week date topic aug introduction pathwaysstorytelling work sept labor day class sept career fair prep sept resume workshop sept professional ethics science sept grad school panel oct consulting oct state agency oct federal agency oct corporate sustainability nov city agency research nov evs alumni panel nov pathway revisited nov fall break class dec tbd dec tbd schedule tentative may change presenters need change dates class policies requirements guest panelists volunteering time attention expertise everyone expected represent evs program ut austin professionalism courtesy students expected act dress professionally time guests expect actively engage guest panelists preparing asking questions contributing discussions giving full attention panelists treat class meetings like professional networking events highly recommend add guest panelists contact information contacts list end class easily available future also sure connect panelists linkedin inclass panels real professional networking opportunities panelists important job contacts assignment submission periods end exact time date stated canvas files must required format students responsible making sure submitted exact files want graded email submissions coursework accepted grading final course grade calculated weighted average following categories class attendance attendance important class meets per week attendance class required able successfully complete assignments particular guest speakers come speak classes recorded pathways ethics assignments occasional discussion questions posted canvas throughout semester relate one topics covered class may relate readings posted canvas outline posted canvas regarding discussions graded need well thought comments graded content quantity lowest two dropped assignments always due pm mondays canvas assignment due canvas pdf timedate listed assignment canvas double check submitting correct document canvas assignment graded instructions assignment posted canvas email submissions accepted resume career fair employer outlines cover letter applying one position graduate school program outlines one application letter linkedin profile reflection papers guest speaker visits panels required assignments format single pdf files pdfs retain formatting see screen potential employers see using microsoft word pages files without converting pdf means fonts formatting may appear different someone elses screen always sendsubmit pdfs job search unless specifically asked another file type final portfolio pathways goal professional portfolio ensure leave course revised finalized versions professional documents use upcoming job searches career planning final pathways provide vision guidance finish degree begin search next step journey portfolio consist following components cover letter application letter finalrevised resume cv finalrevised linked profile revised final pathways map final portfolio due pm monday dec th lieu final exam please take seriously designed help prepare interviews graduate school applications grading scale b c f please note extremely close next grade category grounds asking higher grade follow exact cutoffs calculating final grade policies drop policy understand many obligations life including work family friendships pets personal health classes extracurricular activities understand might miss assignment due unforeseen circumstances beyond control accidentally sleep alarm come illness get car accident car trouble miss bus family emergency etc weve additionally covid still ever present issue community insurance unforeseen circumstances canvas automatically drop lowest two assignment grades calculating final grade something unexpected occurs allotted times highly recommend reach immediately contact dean students office discuss situation youve missed much class dropped assignment grades one components final portfolio still expected complete assignment submit part final portfolio late work assignments marked late exact due date time listed canvas canvas automatically deduct assignments value per day late canvas automatically close assignments submissions days late work may uploaded time responsibility meet deadlines wait last minute turn assignments make sure build contingency time case internet computer issues exceptions made policy experiencing personal healthrelated challenges need extension reach assignment due dates wait deadlines passed may willing grant extension assignments due extremely limited basis due truly exceptional circumstances beyond control please back work one place onedrive google drive etc working assignments notes documents course devastating feeling lose hours days work computer malfunction certainly preventable give extensions fail back work properly example computer word processor unexpectedly crashes lose work working office online progress automatically saved work policies accessibility university committed creating accessible inclusive learning environment consistent university policy federal state law please let know experience barriers learning work ensure equal opportunity participate fully course student disability think may disability need accommodations please contact disability access da please refer das website contact information httpdiversityutexasedudisability already registered da please deliver accommodation letter early possible semester discuss approved accommodations needs course names pronouns professional courtesy sensitivity especially important respect individuals topics dealing differences race culture religion politics sexual orientation gender identity expression nationalities class rosters provided instructor students legal name unless added chosen name registrars office prefer go namepronouns different appears official roster gladly honor choice please let know may use correct name pronouns moving forward instructions add pronouns canvas visit site resources available gender sexuality centers website wwwutgscorg land acknowledgment would like acknowledge meeting indigenous lands turtle island ancestral name called north america moreover would like acknowledge alabamacoushatta caddo carrizocomecrudo coahuiltecan comanche kickapoo lipan apache tonkawa ysleta del sur pueblo american indian indigenous peoples communities become part lands territories texas covid illness students stay home sick contagious stop spread also promote personal wellness university provide symptomatic covid testing campus students faculty staff uhs maintains uptodate resources covid found covid information resources covid exposure action chart academic integrity falsification attendance records cheating plagiarism three forms academic dishonesty forms academic dishonesty treated seriously responsible understanding constitutes academic dishonesty information please visit student conduct academic integrity website httpdeanofstudentsutexaseduconduct university code conduct core values university texas austin learning discovery freedom leadership individual opportunity responsibility member university expected uphold values integrity honesty trust fairness respect toward peers community sharing course materials prohibited materials used class including limited lecture handouts videos assessments quizzes exams papers projects homework assignments inclass materials review sheets additional problem sets may shared online anyone outside class unless explicit written permission unauthorized sharing materials promotes cheating violation universitys student honor code act academic dishonesty aware sites used sharing materials materials found online associated suspected unauthorized sharing materials reported student conduct academic integrity office dean students reports result sanctions including failure course religious holidays student misses classes required activities including examinations observance religious holy day inform instructor far advance absence possible arrangements made complete assignment within reasonable time absence,EVS 141,Geosciences
"2024, Fall",GEO,476K,Groundwater Hydrology.,"Cardenas, Meinhard ",syllabus groundwater hydrology k physical hydrogeology c fall instructor bayani cardenas cardenasjsgutexasedu teaching assistant ebony williams ebonywilliamsutexasedu goals course provide quantitative processbased understanding hydrogeologic phenomena provide experience different methods groundwater hydrology develop learning problemsolving communication skills course philosophy learning course expectation everyone positive fun mature attitude towards learning applying hydrogeologic concepts students demand lot instructors strive meet expectations return expect skills developed students might use groundwater flow transport modeling software lecture hours w person jgb student miss class due valid reason recorded lecture previous semesters specific lecture missed made available upon request lab hours pm eps th eps th pm eps office hours cardenas wednesday pm person eps also appointment williams tbd eps appointment required reading primary textbook fundamentals groundwater schwartz zhang free alternative use digital resource available ut lib charles fitts groundwater science also download open textbook written matt uliana alumnus sometimes lecturer department use reference finally educational movement called groundwater project download textbook groundwater allan freeze john cherry one classics field laboratory k students must attend laboratory session geology c labs meet concurrently k labs graduate students normally pick k labs lab policy labs due week laboratory session report turned one day late lab counts late two days reduce credit credit possible two days exceptions accommodations need prior approval assigned labs grading three inclass exams lab problem sets homework term paper project see separate document quizzes participation attitude total lecturestyle course attendance important interaction lecture meetings encouraged expected percentage grade based level preparation participation class meeting regular weekly less short quizzes done via canvas grading scale undergraduate students b b b c c c f assignments exams labs assigned tuesdays thursdays depending lab section typically due following week day lab meets assignment work ie calculations sketches submitted get full credit also allow partial credit given even messed calculations three exams regular semester midterm exams worth exams designed take minutes long taken usual way paper class however exams online administered canvas via quizzes module exam active longer prescribed time window likely hours final exam field trips field trips tentative try organize canvas course documents eg labs associate materials powerpoint files lectures etc posted canvas classrelated announcements communication also done canvas students staff faculty bound honor code university texas core values university texas austin learning discovery freedom leadership individual opportunity responsibility member university expected uphold values integrity honesty trust fairness respect toward peers community loosely translated anything know supposed consequences university texas austin provides upon request appropriate academic accommodations qualified students disabilities information contact office dean students tty writing flag fall course longer carries writing flag however still term project plagiarism academic integrity using someone elses work writing without giving proper credit considered plagiarism serious form academic dishonesty result severe penalties copying someone elses work buying paper submitting copying pasting text even changes borrowing images online source examples plagiarism even plagiarize accidentally held responsible penalized learning cite sources appropriately important part becoming professional unsure citation encouraged ask instructor already expert discipline appropriate context assignment consultants university writing center also help determine whether citing sources correctlyand helpful guides online using direct quotations paraphrasing reviewing skills help feel confident handling sources professionally writing read universitys definition plagiarism forms academic dishonesty sec student conduct code information visit dean students site plagiarism detection software assignments course may processed turnitin tool compares submitted material archived database published work check potential plagiarism methods may also used determine paper students original work regardless results turnitin submission faculty member make final determination whether paper plagiarized please note policies related sharing educational materials stated preamble services students disabilities class respects welcomes students backgrounds identities abilities circumstances make learning environment activities difficult medical information need share need specific arrangements case building needs evacuated please let know committed creating effective learning environment students discuss needs early possible promise maintain confidentiality discussions student documented disability requires academic accommodations contact services students disabilities voice video phone soon possible request official letter outlining authorized accommodations information visit httpddceutexasedudisabilityabout inclusion diversity following text monica linden brown university may overt covert biases class materials due lens written even though material primarily scientific nature integrating diverse set experiences important comprehensive understanding science please contact instructors submit anonymous feedback suggestions improve quality course materials furthermore collectively strive create learning environment supports diversity thoughts perspectives experiences honors identities including example race gender class sexuality religion ability help accomplish name andor set pronouns differ appear official university records please let instructors know feel like performance class impacted experiences outside class hesitate come discuss instructors resource remember also submit anonymous feedback might lead general announcement class necessary address concerns prefer speak someone outside course division diversity community engagement ddceutexasedu office vice president student affairs dean students vpsaaustinutexasedu excellent resources instructors like many people continually learning diverse perspectives identities something said class anyone made feel uncomfortable please talk instructors anonymous feedback always option title ix reporting title ix federal law protects sex genderbased discrimination sexual harassment sexual assault sexual misconduct datingdomestic violence stalking federally funded educational institutions ut austin committed fostering learning working environment free discrimination forms sexual misconduct occurs community university intervene prevent harmful behavior continuing escalating provide support remedies students employees experienced harm become involved title ix investigation investigate discipline violations universitys relevant policies httpstitleixutexasedurelevantpolices beginning january texas senate bill requires employees texas universities including faculty report information title ix office regarding sexual harassment sexual assault dating violence stalking disclosed texas law requires employees witness receive information type including limited writing assignments class discussions oneonone conversations must reported instructors responsible employees must report title ix related incidents disclosed writing discussion oneonone talking instructors faculty staff member title ix related incident sure ask whether responsible employee would like speak someone provide support remedies without making official report university please email advocateaustinutexasedu information reporting options resources visit httpwwwtitleixutexasedu contact title ix office via email titleixaustinutexasedu call although graduate teaching research assistants subject texas senate bill still mandatory reporters federal title ix laws required report wide range behaviors refer sexual misconduct including types sexual misconduct covered texas senate bill title ix office developed supportive ways respond survivor compiled campus resources support survivors q drop policy want drop class th class day youll need execute q drop qdrop deadline typically occurs near middle semester texas law allowed six q drops college public texas institution information see httpwwwutexaseduugscsaccacademicadddropqdrop lecture schedule lecture day topic chapter notes file date groundwater water cycle w groundwater flow hydraulic head labor day holiday w porosity darcys law hydraulic conductivity porosity darcys law hydraulic conductivity w directional flow anisotropy heterogeneity effective conductivity w aquifer storage f exam review session venue tbd online exam covers powerpoint lecture files w brief review vector calculus anisotropy flow f deadline choosing term project topic mass conservation continuity equation w aquifer equations boundary initial conditions streamlines flow nets laplace equation w regional groundwater flow interactions surface water steadystate well hydraulics aquifer tests w transient confined aquifer well hydraulics f tentative lower colorado river basin alluvial aquifer groundwatersurface water interactions transient unconfined aquifer well hydraulics exceptions w superposition image well theory wells drilling construction water level measurements monitoring hydrographs w well hydrographs f tentative hill country karst aquifers springs field trip groundwater flow simulation exam review session venue tbd w online exam covers powerpoint lecture files unsaturated flow w infiltration groundwater chemistry w groundwater chemistry contd groundwater contamination thanksgiving fall break groundwater transport processes modeling w groundwater transport processes modeling f term project report due pm online exam covers powerpoint lecture files material based fitts ch material based misstear b banks l clark water wells boreholes nd ed john wiley sons chichester uk p material based todd mays groundwater hydrology ch cardenas travel lab schedule lab week topic porosity specific yield specific retention grain size distribution hydraulic conductivity darcys law hydraulic conductivity lab exam regional aquifer study groundwater flow interpretation water table maps flow nets flow line refraction ghybenherzberg pump test analysis theis cooperjacob methods pump test analysis leaky unconfined aquifers superposition lab exam modeling regional groundwater flow topodrive unsaturated zone flow capillary force thanksgiving holidays lab groundwater solute transport last lab labs person held eps lab section students although classroom fit students students normally work groups work groups members per group smaller groups preferred pursued extent accommodated lab equipment ideally stick group,GEO 476K,Geosciences
"2024, Fall",GEO,476K,Groundwater Hydrology.,"Cardenas, Meinhard ",syllabus groundwater hydrology k physical hydrogeology c fall instructor bayani cardenas cardenasjsgutexasedu teaching assistant ebony williams ebonywilliamsutexasedu goals course provide quantitative processbased understanding hydrogeologic phenomena provide experience different methods groundwater hydrology develop learning problemsolving communication skills course philosophy learning course expectation everyone positive fun mature attitude towards learning applying hydrogeologic concepts students demand lot instructors strive meet expectations return expect skills developed students might use groundwater flow transport modeling software lecture hours w person jgb student miss class due valid reason recorded lecture previous semesters specific lecture missed made available upon request lab hours pm eps th eps th pm eps office hours cardenas wednesday pm person eps also appointment williams tbd eps appointment required reading primary textbook fundamentals groundwater schwartz zhang free alternative use digital resource available ut lib charles fitts groundwater science also download open textbook written matt uliana alumnus sometimes lecturer department use reference finally educational movement called groundwater project download textbook groundwater allan freeze john cherry one classics field laboratory k students must attend laboratory session geology c labs meet concurrently k labs graduate students normally pick k labs lab policy labs due week laboratory session report turned one day late lab counts late two days reduce credit credit possible two days exceptions accommodations need prior approval assigned labs grading three inclass exams lab problem sets homework term paper project see separate document quizzes participation attitude total lecturestyle course attendance important interaction lecture meetings encouraged expected percentage grade based level preparation participation class meeting regular weekly less short quizzes done via canvas grading scale undergraduate students b b b c c c f assignments exams labs assigned tuesdays thursdays depending lab section typically due following week day lab meets assignment work ie calculations sketches submitted get full credit also allow partial credit given even messed calculations three exams regular semester midterm exams worth exams designed take minutes long taken usual way paper class however exams online administered canvas via quizzes module exam active longer prescribed time window likely hours final exam field trips field trips tentative try organize canvas course documents eg labs associate materials powerpoint files lectures etc posted canvas classrelated announcements communication also done canvas students staff faculty bound honor code university texas core values university texas austin learning discovery freedom leadership individual opportunity responsibility member university expected uphold values integrity honesty trust fairness respect toward peers community loosely translated anything know supposed consequences university texas austin provides upon request appropriate academic accommodations qualified students disabilities information contact office dean students tty writing flag fall course longer carries writing flag however still term project plagiarism academic integrity using someone elses work writing without giving proper credit considered plagiarism serious form academic dishonesty result severe penalties copying someone elses work buying paper submitting copying pasting text even changes borrowing images online source examples plagiarism even plagiarize accidentally held responsible penalized learning cite sources appropriately important part becoming professional unsure citation encouraged ask instructor already expert discipline appropriate context assignment consultants university writing center also help determine whether citing sources correctlyand helpful guides online using direct quotations paraphrasing reviewing skills help feel confident handling sources professionally writing read universitys definition plagiarism forms academic dishonesty sec student conduct code information visit dean students site plagiarism detection software assignments course may processed turnitin tool compares submitted material archived database published work check potential plagiarism methods may also used determine paper students original work regardless results turnitin submission faculty member make final determination whether paper plagiarized please note policies related sharing educational materials stated preamble services students disabilities class respects welcomes students backgrounds identities abilities circumstances make learning environment activities difficult medical information need share need specific arrangements case building needs evacuated please let know committed creating effective learning environment students discuss needs early possible promise maintain confidentiality discussions student documented disability requires academic accommodations contact services students disabilities voice video phone soon possible request official letter outlining authorized accommodations information visit httpddceutexasedudisabilityabout inclusion diversity following text monica linden brown university may overt covert biases class materials due lens written even though material primarily scientific nature integrating diverse set experiences important comprehensive understanding science please contact instructors submit anonymous feedback suggestions improve quality course materials furthermore collectively strive create learning environment supports diversity thoughts perspectives experiences honors identities including example race gender class sexuality religion ability help accomplish name andor set pronouns differ appear official university records please let instructors know feel like performance class impacted experiences outside class hesitate come discuss instructors resource remember also submit anonymous feedback might lead general announcement class necessary address concerns prefer speak someone outside course division diversity community engagement ddceutexasedu office vice president student affairs dean students vpsaaustinutexasedu excellent resources instructors like many people continually learning diverse perspectives identities something said class anyone made feel uncomfortable please talk instructors anonymous feedback always option title ix reporting title ix federal law protects sex genderbased discrimination sexual harassment sexual assault sexual misconduct datingdomestic violence stalking federally funded educational institutions ut austin committed fostering learning working environment free discrimination forms sexual misconduct occurs community university intervene prevent harmful behavior continuing escalating provide support remedies students employees experienced harm become involved title ix investigation investigate discipline violations universitys relevant policies httpstitleixutexasedurelevantpolices beginning january texas senate bill requires employees texas universities including faculty report information title ix office regarding sexual harassment sexual assault dating violence stalking disclosed texas law requires employees witness receive information type including limited writing assignments class discussions oneonone conversations must reported instructors responsible employees must report title ix related incidents disclosed writing discussion oneonone talking instructors faculty staff member title ix related incident sure ask whether responsible employee would like speak someone provide support remedies without making official report university please email advocateaustinutexasedu information reporting options resources visit httpwwwtitleixutexasedu contact title ix office via email titleixaustinutexasedu call although graduate teaching research assistants subject texas senate bill still mandatory reporters federal title ix laws required report wide range behaviors refer sexual misconduct including types sexual misconduct covered texas senate bill title ix office developed supportive ways respond survivor compiled campus resources support survivors q drop policy want drop class th class day youll need execute q drop qdrop deadline typically occurs near middle semester texas law allowed six q drops college public texas institution information see httpwwwutexaseduugscsaccacademicadddropqdrop lecture schedule lecture day topic chapter notes file date groundwater water cycle w groundwater flow hydraulic head labor day holiday w porosity darcys law hydraulic conductivity porosity darcys law hydraulic conductivity w directional flow anisotropy heterogeneity effective conductivity w aquifer storage f exam review session venue tbd online exam covers powerpoint lecture files w brief review vector calculus anisotropy flow f deadline choosing term project topic mass conservation continuity equation w aquifer equations boundary initial conditions streamlines flow nets laplace equation w regional groundwater flow interactions surface water steadystate well hydraulics aquifer tests w transient confined aquifer well hydraulics f tentative lower colorado river basin alluvial aquifer groundwatersurface water interactions transient unconfined aquifer well hydraulics exceptions w superposition image well theory wells drilling construction water level measurements monitoring hydrographs w well hydrographs f tentative hill country karst aquifers springs field trip groundwater flow simulation exam review session venue tbd w online exam covers powerpoint lecture files unsaturated flow w infiltration groundwater chemistry w groundwater chemistry contd groundwater contamination thanksgiving fall break groundwater transport processes modeling w groundwater transport processes modeling f term project report due pm online exam covers powerpoint lecture files material based fitts ch material based misstear b banks l clark water wells boreholes nd ed john wiley sons chichester uk p material based todd mays groundwater hydrology ch cardenas travel lab schedule lab week topic porosity specific yield specific retention grain size distribution hydraulic conductivity darcys law hydraulic conductivity lab exam regional aquifer study groundwater flow interpretation water table maps flow nets flow line refraction ghybenherzberg pump test analysis theis cooperjacob methods pump test analysis leaky unconfined aquifers superposition lab exam modeling regional groundwater flow topodrive unsaturated zone flow capillary force thanksgiving holidays lab groundwater solute transport last lab labs person held eps lab section students although classroom fit students students normally work groups work groups members per group smaller groups preferred pursued extent accommodated lab equipment ideally stick group,GEO 476K,Geosciences
